"accepted_name","accepted_rank","max_ma","min_ma","family","genus","lng","lat"
"Loxodonta","genus","5.333","2.588","Elephantidae","Loxodonta","35.833302","3.083300"
"Palaeoloxodon recki","species","5.333","2.588","Elephantidae","Elephas","35.833302","3.083300"
"Deinotherium bozasi","species","5.333","0.0117","Deinotheriidae","Deinotherium","34.000000","-10.167000"
"Elephas","genus","5.333","0.0117","Elephantidae","Elephas","34.000000","-10.167000"
"Loxodonta","genus","5.333","0.0117","Elephantidae","Loxodonta","34.000000","-10.167000"
"Mammuthus","genus","5.333","0.0117","Elephantidae","Mammuthus","34.000000","-10.167000"
"Palaeoloxodon recki","species","5.333","0.0117","Elephantidae","Elephas","34.000000","-10.167000"
"Palaeoloxodon recki","species","5.333","0.0117","Elephantidae","Elephas","34.833302","-9.833000"
"Loxodonta","genus","5.333","0.0117","Elephantidae","Loxodonta","34.833302","-9.833000"
"Anancus kenyensis","species","5.333","0.0117","Gomphotheriidae","Anancus","34.833302","-9.833000"
"Loxodonta","genus","5.333","0.0117","Elephantidae","Loxodonta","34.833302","-9.833000"
"Palaeoloxodon recki","species","5.333","0.0117","Elephantidae","Elephas","34.166698","-10.333000"
"Mammuthus","genus","5.333","2.588","Elephantidae","Mammuthus","34.166698","-10.333000"
"Anancus kenyensis","species","5.333","2.588","Gomphotheriidae","Anancus","34.166698","-10.333000"
"Loxodonta","genus","5.333","2.588","Elephantidae","Loxodonta","34.166698","-10.333000"
"Palaeoloxodon recki","species","1.806","0.781","Elephantidae","Elephas","35.334702","-2.989000"
"Elephantidae","family","5.333","3.6","Elephantidae","","36.241699","3.591700"
"Deinotherium bozasi","species","5.333","3.6","Deinotheriidae","Deinotherium","36.241699","3.591700"
"Elephas","genus","5.333","3.6","Elephantidae","Elephas","36.241699","3.591700"
"Loxodonta","genus","23.03","2.588","Elephantidae","Loxodonta","31.000000","1.500000"
"Stegotetrabelodon","genus","23.03","2.588","Elephantidae","Stegotetrabelodon","30.500000","1.000000"
"Palaeoloxodon recki","species","2.588","0.0117","Elephantidae","Elephas","42.277500","11.057800"
"Palaeoloxodon recki","species","2.588","0.0117","Elephantidae","Elephas","42.277500","11.057800"
"Palaeoloxodon recki","species","5.333","0.0117","Elephantidae","Elephas","42.277500","11.057800"
