Species	Status	min_age	max_age
Mammutidae	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Proboscidea	extinct	0.012	1.8
Cuvieronius	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Stegomastodon	extinct	0.3	1.8
Mammut	extinct	0.3	1.8
Mammut	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Proboscidea	extinct	0.3	1.8
Mammut	extinct	0.3	1.8
Mammut	extinct	0.3	1.8
Proboscidea	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Cuvieronius_tropicus	extinct	0.3	1.8
Elephantidae	extinct	0.3	1.8
Proboscidea	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Gomphotheriidae	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammut	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Cuvieronius_tropicus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Stegomastodon	extinct	1.8	4.9
Proboscidea	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Cuvieronius_tropicus	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammuthus	extinct	0.0117	0.126
Mammuthus_columbi	extinct	0.3	1.8
Cuvieronius	extinct	1.8	4.9
Mammuthus_columbi	extinct	1.8	4.9
Mammut_americanum	extinct	0.012	1.8
Mammuthus_columbi	extinct	0.012	1.8
Mammuthus	extinct	0.012	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Stegomastodon	extinct	0.3	1.8
Morrillia_barbouri	extinct	0.3	1.8
Cuvieronius	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Cuvieronius_tropicus	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Cuvieronius_priestleyi	extinct	0.3	1.8
Mammut_americanum	extinct	1.8	4.9
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Proboscidea	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Cuvieronius_tropicus	extinct	0.3	1.8
Stegomastodon_mirificus	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Gomphotheriidae	extinct	0.3	4.9
Mammuthus_hayi	extinct	0.3	4.9
Mammut_americanum	extinct	0.3	1.8
Cuvieronius_tropicus	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Cuvieronius_tropicus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Morrillia_barbouri	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Proboscidea	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.012	0.3
Mammuthus	extinct	0.012	0.3
Mammuthus_columbi	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Cuvieronius_tropicus	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Cuvieronius_tropicus	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Cuvieronius_tropicus	extinct	0.3	1.8
Mammuthus	extinct	0.012	1.8
Mammuthus	extinct	0.012	0.3
Mammut_americanum	extinct	0.012	0.3
Cuvieronius_tropicus	extinct	0.3	1.8
Cuvieronius	extinct	0.012	0.3
Mammuthus	extinct	0.012	0.3
Morrillia_barbouri	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Proboscidea	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Stegomastodon	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Gomphotheriidae	extinct	0.3	1.8
Elephantidae	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Elephantidae	extinct	0.3	1.8
Morrillia_barbouri	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammut	extinct	0.3	1.8
Mammuthus	extinct	1.8	4.9
Mammuthus	extinct	0.012	1.8
Mammuthus_hayi	extinct	0.3	1.8
Mammuthus_primigenius	extinct	0.3	1.8
Mammuthus_hayi	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Cuvieronius	extinct	0.3	1.8
Mammuthus	extinct	0.012	1.8
Mammuthus_hayi	extinct	0.3	1.8
Cuvieronius	extinct	0.3	1.8
Mammuthus_columbi	extinct	0.3	1.8
Mammut_americanum	extinct	0.0117	0.126
Mammuthus_columbi	extinct	0.0117	0.126
Mammut_americanum	extinct	0.0117	0.126
Mammuthus	extinct	0.0117	0.126
Mammuthus_primigenius	extinct	0.0117	0.126
Mammuthus	extinct	0.0117	0.126
Mammuthus_columbi	extinct	0.0117	0.126
Mammut_americanum	extinct	0.0117	0.126
Mammut_americanum	extinct	0.0117	0.126
Mammuthus_columbi	extinct	0.0117	0.126
Mammuthus	extinct	0.0117	0.126
Proboscidea	extinct	0.0117	0.126
Mammuthus_columbi	extinct	0.0117	0.126
Mammut_americanum	extinct	0.0117	0.126
Mammuthus_columbi	extinct	0.0117	0.126
Mammut_americanum	extinct	0.0117	0.126
Mammut_americanum	extinct	0.0117	0.126
Mammuthus_columbi	extinct	0.0117	0.126
Mammut_americanum	extinct	0.0117	0.126
Mammuthus_columbi	extinct	0.0117	0.126
Mammuthus_columbi	extinct	0.0117	0.126
Mammut_americanum	extinct	0.0117	0.126
Mammuthus	extinct	0.0117	0.126
