Species	Status	min_age	max_age
Diphtheropsis_incerta	extinct	182.7	190.8
Palaeontinopsis_arcuatus	extinct	182.7	190.8
Homoptera	extinct	89.8	93.9
Heteroptera	extinct	89.8	93.9
Sinaldocader_ponomarenkoi	extinct	113	125
Lithopsis_simillima	extinct	46.2	50.3
Detyopsis_scudderi	extinct	46.2	50.3
Detyopsis_packardi	extinct	46.2	50.3
Scoparidea_nebulosa	extinct	46.2	50.3
Cicadella_scudderi	extinct	46.2	50.3
Thamnotettix_eocenicus	extinct	46.2	50.3
Dilaropsis_ornatus	extinct	46.2	50.3
Protoliarus_humatus	extinct	46.2	50.3
Prosbolomorpha_clara	extinct	228	237
Tennentsia_protuberans	extinct	228	237
Protopsyllidiidae	extinct	228	237
Protopsyllidiidae	extinct	228	237
Tennentsia_protuberans	extinct	228	237
Scytinoptera_distorta	extinct	228	237
Leptoprosbole_lepida	extinct	228	237
Dunstania_petrophila	extinct	228	237
Fletcheriana_magna	extinct	228	237
Triassogereon_distinctum	extinct	228	237
Procercopis_shawanensis	extinct	190.8	201.3
Procercopina_delicata	extinct	189.6	196.5
Eofulgoridium_tenellum	extinct	174.1	182.7
Cicadopsis	extinct	272.3	279.3
Rhoeniella_granulata	extinct	242	247.2
Cycloscytina_delutinervis	extinct	157.3	166.1
Archijassus_minimus	extinct	157.3	166.1
Elasmoscelidium_rotundatum	extinct	157.3	166.1
Liadopsylla_tenuicornis	extinct	157.3	166.1
Liadopsylla	extinct	157.3	166.1
Cicadomorpha_punctulata	extinct	157.3	166.1
Karajassus_crassinervis	extinct	157.3	166.1
Karabasia_paucinervis	extinct	152.1	163.5
Heseneuma_hammelburgensis	extinct	242	247.2
Saaloscytina_perreticulata	extinct	242	247.2
Ipsviciidae	extinct	242	247.2
Dubiaphis_curvata	extinct	242	247.2
Heteroptera	extinct	242	247.2
Boreoscyta_nefasta	extinct	268.8	272.3
Boreoscyta_nefasta	extinct	268.8	272.3
Boreoscyta_nefasta	extinct	268.8	272.3
Boreoscyta_nefasta	extinct	268.8	272.3
Boreoscyta_latipennis	extinct	268.8	272.3
Boreoscyta_latipennis	extinct	268.8	272.3
Hammapteryx_ceryniiformis	extinct	46.2	50.3
Lithopsis_delicata	extinct	46.2	50.3
Prosbole_elongata	extinct	268.8	272.3
Prosbole_biexcisa	extinct	268.8	272.3
Permocicada_umbrata	extinct	268.8	272.3
Permocicada_nigronervosa	extinct	268.8	272.3
Scytinoptera_kokeni	extinct	268.8	272.3
Scytinoptera_maculata	extinct	268.8	272.3
Scytinoptera_obliquoovata	extinct	268.8	272.3
Scytinoptera_obliquoovata	extinct	268.8	272.3
Permocixius_kazanensis	extinct	268.8	272.3
Cercopis_cephalinus	extinct	46.2	50.3
Sojanoneura_edemskii	extinct	268.8	272.3
Sojanoneura_elytrata	extinct	268.8	272.3
