"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus"
"598716","occ","","","63470","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598717","occ","","","63471","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598718","occ","","","63472","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598719","occ","","","63473","Proboscidea","order","43230","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","",""
"598720","occ","","","63474","Proboscidea","order","43230","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","",""
"598721","occ","","","63475","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598722","occ","","","63476","Proboscidea","order","43230","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","",""
"598723","occ","","","63477","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598724","occ","","","63478","Proboscidea","order","43230","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","",""
"598725","occ","","","63479","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598726","occ","","","63480","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598727","occ","","","63481","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598728","occ","","","63482","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598729","occ","","","63483","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598730","occ","","","63484","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598731","occ","","","63485","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598732","occ","","","63486","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598733","occ","","","63487","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598734","occ","","","63488","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
