"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=primates&taxon_reso=species"
"Access Time","Thu 2017-02-02 00:25:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","primates"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.117"
"Records Found","2898"
"Records Returned","2898"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"165973","occ","534","","14967","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","6294"
"165976","occ","","","14968","Carpodaptes hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","1536"
"165994","occ","537","","14973","Plesiadapis cf. churchilli","species","50430","","Plesiadapis churchilli","species","50430","Tiffanian","","61.7","56.8","6294"
"165995","occ","10012","","14973","Carpodaptes cf. hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","7175"
"166004","occ","","","14974","Plesiadapis fodinatus","species","50434","","Plesiadapis fodinatus","species","50434","Tiffanian","","61.7","56.8","3716"
"166005","occ","","","14974","Nannodectes gidleyi","species","48973","","Nannodectes gidleyi","species","49222","Tiffanian","","61.7","56.8","3716"
"166007","occ","","","14974","Picrodus cf. silberlingi","species","50355","","Picrodus silberlingi","species","50355","Tiffanian","","61.7","56.8","3716"
"166013","occ","","","14975","Chiromyoides cf. minor","species","45059","","Chiromyoides minor","species","45059","Tiffanian","","61.7","56.8","1635"
"166014","occ","","","14975","Navajovius kohlhaasae","species","49006","","Navajovius kohlhaasae","species","49006","Tiffanian","","61.7","56.8","3024"
"166052","occ","","","14978","Micromomys n. sp. vossae","species","48519","","Micromomys vossae","species","48519","Tiffanian","","61.7","56.8","1536"
"166053","occ","","","14978","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","1536"
"166054","occ","","","14978","Plesiadapis churchilli","species","50430","","Plesiadapis churchilli","species","50430","Tiffanian","","61.7","56.8","1536"
"166055","occ","10009","","14978","Carpodaptes n. sp. stonleyi","species","44945","","Carpodaptes stonleyi","species","44945","Tiffanian","","61.7","56.8","7175"
"166067","occ","","","14979","Plesiadapis fodinatus","species","50434","","Plesiadapis fodinatus","species","50434","Tiffanian","","61.7","56.8","3716"
"166068","occ","","","14979","Chiromyoides caesor","species","45057","","Chiromyoides caesor","species","45057","Tiffanian","","61.7","56.8","3716"
"166072","occ","","","14980","Plesiadapis cf. churchilli","species","50430","","Plesiadapis churchilli","species","50430","Tiffanian","","61.7","56.8","3716"
"166073","occ","","","14980","Chiromyoides caesor","species","45057","","Chiromyoides caesor","species","45057","Tiffanian","","61.7","56.8","3716"
"166074","occ","","","14980","Nannodectes gidleyi","species","48973","","Nannodectes gidleyi","species","49222","Tiffanian","","61.7","56.8","3716"
"166081","occ","","","14981","Plesiadapis cf. churchilli","species","50430","","Plesiadapis churchilli","species","50430","Tiffanian","","61.7","56.8","3716"
"166082","occ","","","14981","Nannodectes gidleyi","species","48973","","Nannodectes gidleyi","species","49222","Tiffanian","","61.7","56.8","3716"
"166088","occ","","","14982","Plesiadapis cf. churchilli","species","50430","","Plesiadapis churchilli","species","50430","Tiffanian","","61.7","56.8","3716"
"166089","occ","","","14982","Chiromyoides caesor","species","45057","","Chiromyoides caesor","species","45057","Tiffanian","","61.7","56.8","3716"
"166092","occ","","","14983","Paromomys depressidens","species","50015","","Paromomys depressidens","species","50015","Tiffanian","","61.7","56.8","3716"
